X_mean,X_std,X_max,X_min,X_sum_sq,Y_mean,Y_std,Y_max,Y_min,Y_sum_sq,Z_mean,Z_std,Z_max,Z_min,Z_sum_sq,is_accelerometer,is_gyroscope,label,motion
0.20453382,0.55546916,5.230227,-2.4381416,105.11402,-0.11828683,0.6098883,4.669989,-1.9146142,115.78665,0.5481135,0.6414925,3.5707455,-2.6828735,213.58232,1.0,0.0,1,DANGER — Lowheight Free Fall
0.043629836,0.57714903,3.6037843,-6.2078233,100.501366,-0.10791535,0.63358176,1.7311723,-6.178976,123.92148,-0.26483804,0.93816566,2.0081322,-3.9799526,285.0882,1.0,0.0,1,DANGER — Lowheight Free Fall
0.75069445,1.0386804,3.485723,-0.34995702,492.71976,0.27882856,0.64965564,1.523048,-0.974536,149.93936,0.46018645,0.4813162,1.386469,-0.707051,133.03105,1.0,0.0,0,SAFE — Medium Running Hand
1.4413104,1.192953,4.0966988,-0.28163698,1050.1538,0.22954382,0.7847465,1.451312,-1.0589601,200.55525,-0.008288681,0.31783697,0.76524496,-1.100379,30.326712,1.0,0.0,0,SAFE — Medium Running Hand
1.5603938,1.0570906,4.148915,-0.748653,1065.6809,0.22015469,1.2092446,3.138328,-1.714344,453.22217,-0.015890094,0.44962242,1.230309,-0.992043,60.72385,1.0,0.0,0,SAFE — Medium Running Hand
1.7583429,1.1233864,4.407555,-0.770613,1306.13,0.10333563,1.3127701,3.329136,-1.989088,520.21313,0.057623852,0.48541346,1.540189,-1.070611,71.68402,1.0,0.0,0,SAFE — Medium Running Hand
1.7723566,1.6980705,5.470907,-1.493829,1807.4075,-0.24901175,1.014261,1.668472,-2.340448,327.21964,0.041392975,0.41717273,1.609973,-0.961787,52.723934,1.0,0.0,0,SAFE — Medium Running Hand
1.9338619,1.352035,5.852523,-0.70278096,1670.3462,0.024582189,1.4683259,3.553128,-3.0568318,646.9755,0.16479841,0.66806716,2.5518131,-1.372683,142.04167,1.0,0.0,0,SAFE — Medium Running Hand
1.0727159,1.3421526,3.9644508,-0.216245,885.62787,0.25714022,1.1324629,3.01584,-2.2340639,404.57794,0.23939897,0.49575537,1.970117,-0.85881895,90.92558,1.0,0.0,0,SAFE — Medium Running Hand
-0.10778523,0.06001919,0.016412333,-0.28399608,4.5659876,0.2665044,0.07659821,0.45153034,0.06413506,23.067568,0.962371,0.1366539,1.2651569,0.5188316,283.44968,1.0,0.0,0,SAFE — Medium Walking 2
-0.100111105,0.06217602,0.06190187,-0.2759352,4.166427,0.34497333,0.09416211,0.5189387,0.13388364,38.361927,0.94337475,0.16751982,1.3311427,0.5478935,275.40564,1.0,0.0,0,SAFE — Medium Walking 2
-0.07945823,0.0643867,0.11532991,-0.23269413,3.137777,0.33512756,0.10556131,0.5318789,0.085350245,37.0361,0.94655806,0.1413686,1.261287,0.56838983,274.78717,1.0,0.0,0,SAFE — Medium Walking 2
-0.058904316,0.05558888,0.11971979,-0.2270959,1.9679526,0.32856873,0.08433714,0.5082317,0.07291481,34.52105,0.9535433,0.14685996,1.3752862,0.5356569,279.2438,1.0,0.0,0,SAFE — Medium Walking 2
-0.10414046,0.0698939,0.07239475,-0.34426132,4.7191176,0.34731475,0.090632476,0.557484,0.11410625,38.652534,0.9426107,0.14770071,1.3794773,0.5620727,273.09912,1.0,0.0,0,SAFE — Medium Walking 2
-0.073572375,0.0502124,0.04109966,-0.20201088,2.3802538,0.36840716,0.08228087,0.5021134,0.16325147,42.748196,0.93129116,0.1476617,1.3078932,0.58276784,266.73215,1.0,0.0,0,SAFE — Medium Walking 2
-0.07332892,0.051076584,0.08922008,-0.20220973,2.3957841,0.33525074,0.08075207,0.46479174,0.11043527,35.674187,0.94705886,0.1355289,1.2947389,0.63599706,274.58658,1.0,0.0,0,SAFE — Medium Walking 2
-0.02871113,0.05591343,0.13755462,-0.15265152,1.1851921,0.3250296,0.083849154,0.5015933,0.1552059,33.80248,0.954995,0.12544724,1.2339535,0.5972529,278.3257,1.0,0.0,0,SAFE — Medium Walking 2
-0.09130254,0.050354563,0.079430796,-0.21077536,3.2615206,0.3464956,0.082731664,0.4786497,0.17467739,38.071117,0.9409287,0.15329067,1.3530616,0.6033712,272.65344,1.0,0.0,0,SAFE — Medium Walking 2
-0.086250044,0.07905043,0.13460255,-0.26614594,4.1064124,0.2676513,0.068830155,0.4410222,0.1268476,22.912441,0.9745735,0.13096617,1.3022796,0.62723255,290.0837,1.0,0.0,0,SAFE — Medium Walking 2
0.47860682,0.55530965,1.9904909,-0.166957,161.23,0.0038893614,0.3878035,0.52948004,-1.34444,45.122005,0.46610427,0.47399414,1.126853,-0.446947,132.57709,1.0,0.0,0,SAFE — Medium Walking
