window_id,dataset_name,danger_label,motion_description,x_mean,x_std,x_min,x_max,x_range,x_median,x_iqr,x_rms,y_mean,y_std,y_min,y_max,y_range,y_median,y_iqr,y_rms,z_mean,z_std,z_min,z_max,z_range,z_median,z_iqr,z_rms,mag_mean,mag_std,mag_min,mag_max,mag_range,mag_median,mag_iqr,mag_rms,xy_corr,xz_corr,yz_corr
8,highheight_free_fall,1,DANGER — Highheight Free Fall,0.06907246950112002,0.4416927360509596,-4.94828,1.5501778,6.4984578,-0.004175738,0.04930582725,0.4470609344632629,-0.13020236680209332,0.6864937815672159,-5.58856,3.9380424,9.5266024,0.00663070485,0.04012455875,0.6987319718256229,-0.05146375414876672,1.1446345081155507,-6.493242,7.8288665,14.3221085,-0.0395624425,1.8855100375,1.1457908514035244,0.9940007863791757,1.0064238468021727,0.0045420374760604355,10.817052671907549,10.812510634431488,1.001215206923974,0.3750069694301299,1.4145410996978853,0.07929007985060767,-0.36542612245333905,0.16751555701203152
9,highheight_free_fall,1,DANGER — Highheight Free Fall,-0.10854155416041338,0.5519422331939127,-4.7124195,4.42281,9.135229500000001,0.023754291,0.3503451945,0.5625135534035082,-0.1695284377133667,0.3503652319496493,-1.4605447,1.4753203,2.9358649999999997,-0.021972337,0.1931622955,0.38922446859449417,-0.22294224578278668,1.0356332161950397,-7.7648387,5.728975,13.4938137,-0.055622972,1.452793495,1.0593580147623156,0.9728521845423094,0.8023186494079011,0.009041155472327445,7.78143998353071,7.772398828058383,0.996846573134379,0.45330537604475973,1.261014111006083,0.18584271179341344,-0.08319293132560315,-0.3492372442494365
0,light_snatching,1,DANGER — Light Snatching,0.15356233181566667,0.23563018782577347,-0.9261114,1.2666864,2.1927978,0.13510731,0.10819443499999999,0.28125251139763036,-0.13369958593364667,0.23002253811409581,-0.92650914,0.41685492,1.3433640599999999,-0.0992693755,0.360669817,0.2660562859984316,0.9493655111999999,0.21248427428282632,0.15601659,2.077468,1.92145141,0.9778568999999999,0.1730445249999999,0.9728537611961711,1.027301746015825,0.20244625408519504,0.4448740865313866,2.3066545441950903,1.8617804576637038,1.0156454946756215,0.14405345170193862,1.0470593885545796,-0.26534822003111447,-0.3957738364992441,0.07448422462572252
1,light_snatching,1,DANGER — Light Snatching,0.11761045137700002,0.044196286917828384,-0.0125425095,0.22373083,0.23627333949999998,0.11838905,0.05889243000000001,0.12564047934652547,-0.11508221809366667,0.20938574028195386,-0.43389437,0.31314975,0.74704412,-0.163817405,0.34438748999999996,0.23892740561681092,0.9857747386000002,0.0634547970411474,0.80129814,1.135755,0.3344568600000001,0.98907632,0.09020290000000009,0.9878149353646317,1.0223553826003242,0.05864855840326369,0.8776918613661484,1.2183360820924583,0.34064422072630984,1.0217924004109264,0.08039465820184477,1.0240362209095126,0.23697999369034067,-0.33793958408609387,0.2355278604158461
2,light_snatching,1,DANGER — Light Snatching,0.11978076452683332,0.08568433840541809,-0.1822182,0.31019768,0.49241588,0.1293561,0.094546815,0.14727266344643497,-0.06367159246933334,0.19406780991355338,-0.38942963,0.33701113,0.72644076,-0.09279163,0.336380176,0.2042458972224998,0.9906829329333334,0.05985162568532578,0.8448298,1.1619718,0.31714200000000015,0.9872332,0.08708255000000009,0.9924892395903181,1.0226091564348385,0.05206753123614041,0.8897381073930524,1.168151174826817,0.2784130674337646,1.0219936087045656,0.07413575127124128,1.0239338428987483,-0.5959823567071081,-0.3674162092677405,0.08922086507704108
3,light_snatching,1,DANGER — Light Snatching,0.15609240168,0.051630313271911116,0.024274345,0.3065267,0.282252355,0.15132843499999998,0.05926335499999999,0.16440963204990805,-0.005544452663466665,0.12544385102352099,-0.2475922,0.21791847,0.46551067,-0.0032579934,0.22481683275,0.1255663199864866,0.9894414827333332,0.07266602403789438,0.76856524,1.1907277,0.42216246,0.98774558,0.10591916999999995,0.9921062437073023,1.011084330942689,0.0691426232574607,0.8410652958342825,1.1937225194328394,0.3526572235985569,1.009778467444224,0.10135166581811506,1.0134457196262403,-0.2704063724828648,-0.20717197957692302,-0.42434585409666026
4,light_snatching,1,DANGER — Light Snatching,0.19408866008666667,0.0326001643616559,0.11094003,0.27307492,0.16213489,0.19756748,0.04883931,0.19680746604396035,-0.05805504642243334,0.09995021082551764,-0.23535562,0.12053046,0.35588608,-0.0555770845,0.1780156865,0.11558733952806557,0.9843449425000002,0.03831896455331612,0.89530575,1.1080236,0.2127178500000001,0.9804112949999999,0.04886987499999995,0.9850905079584142,1.010455419560749,0.03842870931866411,0.9070037054848668,1.1374675794358358,0.230463873950969,1.008144447442479,0.043363511778124586,1.0111858981510706,-0.34800206699342745,-0.102835982086957,-0.08836957411992842
5,light_snatching,1,DANGER — Light Snatching,0.18848180148733332,0.28860291916873176,-0.3550601,1.1116947,1.4667548,0.19115091,0.4416416825,0.3446984688747893,0.11989043446516666,0.17206942824535723,-0.23463671,0.46396577,0.69860248,0.106098923,0.28237855887499996,0.2097179162897881,0.92366131584,0.1404302870552254,0.059852242,1.5083591,1.448506858,0.94588876,0.11438546500000002,0.9342755974024438,1.0128444302642314,0.09907416838900239,0.6303288133111875,1.657819826772114,1.0274910134609265,1.006906978782742,0.07903394775078243,1.0176785006863651,-0.5008177176514976,-0.30528189830655855,-0.1443499884476573
0,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.33644324273216664,0.5715522493689071,-1.6797787,1.143005,2.8227837,-0.32049171499999995,0.8950763,0.6632239661975379,0.32372207624599997,0.220465746201523,-0.36770967,0.8314766,1.19918627,0.28220648000000004,0.3408426875,0.39166456043049824,0.7151396998833334,0.2463374479395,0.06373736,1.3418497,1.27811234,0.70793295,0.2942442099999999,0.7563775040325894,1.0629024839317376,0.18871246777656323,0.5212225288267076,1.7712740748546179,1.2500515460279102,1.0209977150056937,0.23763759788724792,1.0795249352574392,0.15949419787338368,0.5842158851631649,-0.43957761586521815
1,light_vigorous_shaking,1,DANGER — Light Vigorous Shaking,-0.6329989012833334,0.2682808688419194,-1.0926208,-0.02447319,1.06814761,-0.67234735,0.4718775524999999,0.6875043517043964,0.25062601082635333,0.14357670964220975,-0.041803267,0.60612446,0.647927727,0.23912601500000003,0.22494302000000002,0.2888384822948888,0.6996559202333333,0.08003436412399442,0.527902,0.9092861,0.3813841,0.69549748,0.1219338325,0.7042186493968223,1.0217163003132903,0.09005337472468179,0.8387508389929073,1.2616274663263956,0.4228766273334883,1.0060359972138733,0.1250643282896572,1.0256772438858053,0.905624736245488,0.7420354418066393,0.5894498400767803
